nace_r2;geo;n2015
B05;UKI2; 
B05;UKI3;0
B05;UKI4;0
B05;UKI5;0
B05;UKI6;0
B05;UKI7;0
B05;UKJ;0
B05;UKJ1;0
B05;UKJ2;0
B05;UKJ3;0
B05;UKJ4;0
B05;UKK;0
B05;UKK1;0
B05;UKK2;0
B05;UKK3;0
B05;UKK4;0
B05;UKL;710
B05;UKL1; 
B05;UKL2; 
B05;UKM; 
B05;UKM2; 
B05;UKM3; 
B05;UKM5;0
B05;UKM6;0
B05;UKN;0
B05;UKN0;0
B06;AT; 
B06;AT1; 
B06;AT11;0
B06;AT12; 
B06;AT13; 
B06;AT2;0
B06;AT21;0
B06;AT22;0
B06;AT3; 
B06;AT31; 
B06;AT32; 
B06;AT33;0
B06;AT34;0
B06;BE;0
B06;BE1;0
B06;BE10;0
B06;BE2;0
B06;BE21;0
B06;BE22;0
B06;BE23;0
B06;BE24;0
B06;BE25;0
B06;BE3;0
B06;BE31;0
B06;BE32;0
B06;BE33;0
B06;BE34;0
B06;BE35;0
B06;BG; 
B06;BG3; 
B06;BG31; 
B06;BG32;0
B06;BG33; 
B06;BG34;0
B06;BG4; 
B06;BG41; 
B06;BG42;0
B06;CY;0
B06;CY0;0
B06;CY00;0
B06;CZ; 
B06;CZ0; 
B06;CZ01; 
B06;CZ02;0
B06;CZ03;0
B06;CZ04;0
B06;CZ05;0
B06;CZ06; 
B06;CZ07;0
B06;CZ08;0
B06;CZZ; 
B06;CZZZ; 
B06;DE;3586
B06;DE1;0
B06;DE11;0
B06;DE12;0
B06;DE13;0
B06;DE14;0
B06;DE2; 
B06;DE21; 
B06;DE22;0
B06;DE23;0
B06;DE24;0
B06;DE25;0
B06;DE26;0
B06;DE27; 
B06;DE3;0
B06;DE30;0
B06;DE4; 
B06;DE40; 
B06;DE41; 
B06;DE42; 
B06;DE5;0
B06;DE50;0
B06;DE6; 
B06;DE60; 
B06;DE7;0
B06;DE71;0
B06;DE72;0
B06;DE73;0
B06;DE8; 
B06;DE80; 
B06;DE9;2296
B06;DE91; 
B06;DE92; 
B06;DE93; 
B06;DE94; 
B06;DEA; 
B06;DEA1;0
B06;DEA2;0
B06;DEA3; 
B06;DEA4;0
B06;DEA5;0
B06;DEB; 
B06;DEB1;0
B06;DEB2;0
B06;DEB3; 
B06;DEC;0
B06;DEC0;0
B06;DED;0
B06;DED1; 
B06;DED2;0
B06;DED3; 
B06;DED4;0
B06;DED5;0
B06;DEE; 
B06;DEE0; 
B06;DEF; 
B06;DEF0; 
B06;DEG; 
B06;DEG0; 
B06;DK;1051
B06;DK0;1051
B06;DK01;405
B06;DK02; 
B06;DK03; 
B06;DK04; 
B06;DK05;0
B06;EE; 
B06;EE0; 
B06;EE00; 
B06;EL; 
B06;EL1; 
B06;EL11; 
B06;EL12; 
B06;EL13; 
B06;EL14; 
B06;EL2; 
B06;EL21; 
B06;EL22; 
B06;EL23; 
B06;EL24; 
B06;EL25; 
B06;EL3; 
B06;EL30; 
B06;EL4;0
B06;EL41;0
B06;EL42;0
B06;EL43;0
B06;EL5; 
B06;EL51; 
B06;EL52;0
B06;EL53;0
B06;EL54;0
B06;EL6;0
B06;EL61;0
B06;EL62;0
B06;EL63;0
B06;EL64;0
B06;EL65;0
B06;ELZ;0
B06;ELZZ;0
B06;ES;368
B06;ES1; 
B06;ES11; 
B06;ES12;0
B06;ES13;0
B06;ES2; 
B06;ES21;0
B06;ES22;0
B06;ES23;0
B06;ES24; 
B06;ES3; 
B06;ES30; 
B06;ES4; 
B06;ES41; 
B06;ES42;0
B06;ES43;0
B06;ES5;0
B06;ES51;0
B06;ES52;0
B06;ES53;0
B06;ES6;0
B06;ES61;0
B06;ES62;0
B06;ES63;0
B06;ES64;0
B06;ES7;0
B06;ES70;0
B06;FI;0
B06;FI1;0
B06;FI13; 
B06;FI18; 
B06;FI19;0
B06;FI1A; 
B06;FI1B;0
B06;FI1C;0
B06;FI1D;0
B06;FI2;0
B06;FI20;0
B06;FIZ; 
B06;FIZZ; 
B06;FR;
B06;FR1;95
B06;FR10;95
B06;FR2; 
B06;FR21; 
B06;FR22;0
B06;FR23;0
B06;FR24;0
B06;FR25;0
B06;FR26;0
B06;FR3;0
B06;FR30;0
B06;FR4; 
B06;FR41; 
B06;FR42; 
B06;FR43;0
B06;FR5; 
B06;FR51;0
B06;FR52;0
B06;FR53; 
B06;FR6; 
B06;FR61; 
B06;FR62;0
B06;FR63;0
B06;FR7;0
B06;FR71;0
B06;FR72;0
B06;FR8;0
B06;FR81;0
B06;FR82;0
B06;FR83;0
B06;FR9; 
B06;FR91; 
